LAC2020,LAN2020,DECILE1,DECILE2,DECILE3,DECILE4,DECILE5,DECILE6,DECILE7,DECILE8,DECILE9,DECILE10,LSOA_TOT,PCT1,PCT2,PCT3,PCT4,PCT5,PCT6,PCT7,PCT8,PCT9,PCT10,PCT_TOT
E07000137,East Lindsey,13,16,13,14,5,5,8,3,4,0,81,16.0,19.8,16.0,17.3,6.2,6.2,9.9,3.7,4.9,0.0,100.0
E07000138,Lincoln,10,9,7,5,5,6,6,6,3,0,57,17.5,15.8,12.3,8.8,8.8,10.5,10.5,10.5,5.3,0.0,100.0
E07000139,North Kesteven,0,0,3,5,5,5,7,13,16,10,64,0.0,0.0,4.7,7.8,7.8,7.8,10.9,20.3,25.0,15.6,100.0
E07000140,South Holland,0,1,3,11,8,11,7,4,4,0,49,0.0,2.0,6.1,22.4,16.3,22.4,14.3,8.2,8.2,0.0,100.0
E07000141,South Kesteven,1,2,4,7,4,10,12,10,15,16,81,1.2,2.5,4.9,8.6,4.9,12.3,14.8,12.3,18.5,19.8,100.0
E07000142,West Lindsey,4,5,3,5,7,7,6,4,8,3,52,7.7,9.6,5.8,9.6,13.5,13.5,11.5,7.7,15.4,5.8,100.0
E07000143,Breckland,1,6,9,5,19,18,9,8,3,0,78,1.3,7.7,11.5,6.4,24.4,23.1,11.5,10.3,3.8,0.0,100.0
E07000144,Broadland,0,0,0,4,10,12,14,15,18,11,84,0.0,0.0,0.0,4.8,11.9,14.3,16.7,17.9,21.4,13.1,100.0
E07000145,Great Yarmouth,15,8,9,6,7,10,3,1,2,0,61,24.6,13.1,14.8,9.8,11.5,16.4,4.9,1.6,3.3,0.0,100.0
E07000146,King's Lynn and West Norfolk,7,6,14,17,20,12,5,2,4,2,89,7.9,6.7,15.7,19.1,22.5,13.5,5.6,2.2,4.5,2.2,100.0
E07000147,North Norfolk,0,2,9,16,16,13,4,1,1,0,62,0.0,3.2,14.5,25.8,25.8,21.0,6.5,1.6,1.6,0.0,100.0
E07000148,Norwich,17,16,8,15,2,6,3,6,3,7,83,20.5,19.3,9.6,18.1,2.4,7.2,3.6,7.2,3.6,8.4,100.0
E07000149,South Norfolk,0,0,0,8,10,15,19,13,8,8,81,0.0,0.0,0.0,9.9,12.3,18.5,23.5,16.0,9.9,9.9,100.0
E07000150,Corby,4,8,10,2,6,2,3,4,2,0,41,9.8,19.5,24.4,4.9,14.6,4.9,7.3,9.8,4.9,0.0,100.0
E07000151,Daventry,1,0,2,3,1,8,7,8,10,4,44,2.3,0.0,4.5,6.8,2.3,18.2,15.9,18.2,22.7,9.1,100.0
E07000152,East Northamptonshire,0,2,6,1,2,10,4,10,5,9,49,0.0,4.1,12.2,2.0,4.1,20.4,8.2,20.4,10.2,18.4,100.0
E07000153,Kettering,4,2,7,4,5,7,5,9,10,4,57,7.0,3.5,12.3,7.0,8.8,12.3,8.8,15.8,17.5,7.0,100.0
E07000154,Northampton,12,19,19,11,14,11,12,18,11,6,133,9.0,14.3,14.3,8.3,10.5,8.3,9.0,13.5,8.3,4.5,100.0
E07000155,South Northamptonshire,0,0,0,0,1,2,6,10,11,21,51,0.0,0.0,0.0,0.0,2.0,3.9,11.8,19.6,21.6,41.2,100.0
E07000156,Wellingborough,3,7,6,7,1,2,10,5,3,3,47,6.4,14.9,12.8,14.9,2.1,4.3,21.3,10.6,6.4,6.4,100.0
E07000163,Craven,0,2,0,1,2,9,3,6,5,4,32,0.0,6.3,0.0,3.1,6.3,28.1,9.4,18.8,15.6,12.5,100.0
E07000164,Hambleton,0,0,2,2,5,6,11,9,6,11,52,0.0,0.0,3.8,3.8,9.6,11.5,21.2,17.3,11.5,21.2,100.0
E07000165,Harrogate,1,0,1,2,6,15,21,16,12,30,104,1.0,0.0,1.0,1.9,5.8,14.4,20.2,15.4,11.5,28.8,100.0
E07000166,Richmondshire,0,0,1,0,1,8,7,9,7,1,34,0.0,0.0,2.9,0.0,2.9,23.5,20.6,26.5,20.6,2.9,100.0
E07000167,Ryedale,0,0,0,4,10,6,3,2,4,1,30,0.0,0.0,0.0,13.3,33.3,20.0,10.0,6.7,13.3,3.3,100.0
E07000168,Scarborough,9,11,7,9,13,5,6,7,3,1,71,12.7,15.5,9.9,12.7,18.3,7.0,8.5,9.9,4.2,1.4,100.0
E07000169,Selby,1,0,3,2,5,7,4,8,12,8,50,2.0,0.0,6.0,4.0,10.0,14.0,8.0,16.0,24.0,16.0,100.0
E07000170,Ashfield,12,9,7,14,9,10,5,3,4,1,74,16.2,12.2,9.5,18.9,12.2,13.5,6.8,4.1,5.4,1.4,100.0
E07000171,Bassetlaw,5,10,11,5,8,9,8,9,5,0,70,7.1,14.3,15.7,7.1,11.4,12.9,11.4,12.9,7.1,0.0,100.0
E07000172,Broxtowe,0,4,2,8,8,8,9,7,14,11,71,0.0,5.6,2.8,11.3,11.3,11.3,12.7,9.9,19.7,15.5,100.0
E07000173,Gedling,1,1,8,8,7,9,9,13,10,11,77,1.3,1.3,10.4,10.4,9.1,11.7,11.7,16.9,13.0,14.3,100.0
E07000174,Mansfield,10,17,9,6,3,6,3,7,4,2,67,14.9,25.4,13.4,9.0,4.5,9.0,4.5,10.4,6.0,3.0,100.0
E07000175,Newark and Sherwood,3,7,6,6,9,11,7,10,5,6,70,4.3,10.0,8.6,8.6,12.9,15.7,10.0,14.3,7.1,8.6,100.0
E07000176,Rushcliffe,0,0,0,2,2,2,7,8,13,34,68,0.0,0.0,0.0,2.9,2.9,2.9,10.3,11.8,19.1,50.0,100.0
E07000177,Cherwell,0,6,4,6,7,11,20,11,19,9,93,0.0,6.5,4.3,6.5,7.5,11.8,21.5,11.8,20.4,9.7,100.0
E07000178,Oxford,1,9,7,6,6,15,7,11,9,12,83,1.2,10.8,8.4,7.2,7.2,18.1,8.4,13.3,10.8,14.5,100.0
E07000179,South Oxfordshire,0,0,0,2,6,6,10,8,21,36,89,0.0,0.0,0.0,2.2,6.7,6.7,11.2,9.0,23.6,40.4,100.0
E07000180,Vale of White Horse,0,1,0,0,1,5,11,13,17,28,76,0.0,1.3,0.0,0.0,1.3,6.6,14.5,17.1,22.4,36.8,100.0
E07000181,West Oxfordshire,0,0,0,4,1,5,3,12,19,22,66,0.0,0.0,0.0,6.1,1.5,7.6,4.5,18.2,28.8,33.3,100.0
E07000187,Mendip,1,1,3,10,11,14,13,4,5,4,66,1.5,1.5,4.5,15.2,16.7,21.2,19.7,6.1,7.6,6.1,100.0
E07000188,Sedgemoor,4,9,3,11,9,9,11,9,1,4,70,5.7,12.9,4.3,15.7,12.9,12.9,15.7,12.9,1.4,5.7,100.0
E07000189,South Somerset,1,5,6,12,21,17,17,14,5,5,103,1.0,4.9,5.8,11.7,20.4,16.5,16.5,13.6,4.9,4.9,100.0
E07000192,Cannock Chase,2,7,10,5,10,6,7,6,5,2,60,3.3,11.7,16.7,8.3,16.7,10.0,11.7,10.0,8.3,3.3,100.0
E07000193,East Staffordshire,3,10,6,7,4,10,5,11,6,10,72,4.2,13.9,8.3,9.7,5.6,13.9,6.9,15.3,8.3,13.9,100.0
E07000194,Lichfield,0,2,3,1,6,7,8,12,8,11,58,0.0,3.4,5.2,1.7,10.3,12.1,13.8,20.7,13.8,19.0,100.0
E07000195,Newcastle-under-Lyme,2,7,10,12,6,11,10,7,11,4,80,2.5,8.8,12.5,15.0,7.5,13.8,12.5,8.8,13.8,5.0,100.0
E07000196,South Staffordshire,0,0,5,5,4,9,13,14,10,8,68,0.0,0.0,7.4,7.4,5.9,13.2,19.1,20.6,14.7,11.8,100.0
E07000197,Stafford,0,4,6,5,6,7,12,11,14,15,80,0.0,5.0,7.5,6.3,7.5,8.8,15.0,13.8,17.5,18.8,100.0
E07000198,Staffordshire Moorlands,0,2,6,7,3,6,10,9,14,2,59,0.0,3.4,10.2,11.9,5.1,10.2,16.9,15.3,23.7,3.4,100.0
E07000199,Tamworth,4,6,1,9,6,7,6,5,5,2,51,7.8,11.8,2.0,17.6,11.8,13.7,11.8,9.8,9.8,3.9,100.0
E07000200,Babergh,0,0,5,5,3,12,9,9,6,5,54,0.0,0.0,9.3,9.3,5.6,22.2,16.7,16.7,11.1,9.3,100.0
E07000202,Ipswich,12,16,11,4,9,9,10,5,8,1,85,14.1,18.8,12.9,4.7,10.6,10.6,11.8,5.9,9.4,1.2,100.0
E07000203,Mid Suffolk,0,1,1,0,6,16,10,9,7,6,56,0.0,1.8,1.8,0.0,10.7,28.6,17.9,16.1,12.5,10.7,100.0
E07000207,Elmbridge,0,0,1,4,1,7,3,8,16,41,81,0.0,0.0,1.2,4.9,1.2,8.6,3.7,9.9,19.8,50.6,100.0
E07000208,Epsom and Ewell,0,0,1,2,0,2,4,5,8,22,44,0.0,0.0,2.3,4.5,0.0,4.5,9.1,11.4,18.2,50.0,100.0
E07000209,Guildford,0,2,1,2,6,7,10,9,11,36,84,0.0,2.4,1.2,2.4,7.1,8.3,11.9,10.7,13.1,42.9,100.0
E07000210,Mole Valley,0,0,1,1,3,5,5,9,11,19,54,0.0,0.0,1.9,1.9,5.6,9.3,9.3,16.7,20.4,35.2,100.0
E07000211,Reigate and Banstead,0,1,3,6,5,8,10,12,19,22,86,0.0,1.2,3.5,7.0,5.8,9.3,11.6,14.0,22.1,25.6,100.0
E07000212,Runnymede,0,0,2,3,6,6,8,10,10,7,52,0.0,0.0,3.8,5.8,11.5,11.5,15.4,19.2,19.2,13.5,100.0
E07000213,Spelthorne,0,0,3,11,5,9,9,10,9,4,60,0.0,0.0,5.0,18.3,8.3,15.0,15.0,16.7,15.0,6.7,100.0
E07000214,Surrey Heath,0,0,0,3,3,3,1,5,14,26,55,0.0,0.0,0.0,5.5,5.5,5.5,1.8,9.1,25.5,47.3,100.0
E07000215,Tandridge,0,0,0,5,5,4,9,13,7,7,50,0.0,0.0,0.0,10.0,10.0,8.0,18.0,26.0,14.0,14.0,100.0
E07000216,Waverley,0,0,2,1,1,4,8,13,14,39,82,0.0,0.0,2.4,1.2,1.2,4.9,9.8,15.9,17.1,47.6,100.0
E07000217,Woking,0,1,1,3,8,1,6,7,18,16,61,0.0,1.6,1.6,4.9,13.1,1.6,9.8,11.5,29.5,26.2,100.0
E07000218,North Warwickshire,1,1,3,5,7,4,10,4,3,0,38,2.6,2.6,7.9,13.2,18.4,10.5,26.3,10.5,7.9,0.0,100.0
E07000219,Nuneaton and Bedworth,5,12,13,12,6,10,6,6,4,7,81,6.2,14.8,16.0,14.8,7.4,12.3,7.4,7.4,4.9,8.6,100.0
E07000220,Rugby,0,2,5,4,6,10,5,8,11,10,61,0.0,3.3,8.2,6.6,9.8,16.4,8.2,13.1,18.0,16.4,100.0
E07000221,Stratford-on-Avon,0,0,1,3,4,13,14,20,10,8,73,0.0,0.0,1.4,4.1,5.5,17.8,19.2,27.4,13.7,11.0,100.0
E07000222,Warwick,0,1,4,3,11,7,11,15,17,17,86,0.0,1.2,4.7,3.5,12.8,8.1,12.8,17.4,19.8,19.8,100.0
E07000223,Adur,0,1,9,3,3,9,8,2,4,3,42,0.0,2.4,21.4,7.1,7.1,21.4,19.0,4.8,9.5,7.1,100.0
E07000224,Arun,4,6,8,9,12,18,14,11,9,3,94,4.3,6.4,8.5,9.6,12.8,19.1,14.9,11.7,9.6,3.2,100.0
E07000225,Chichester,0,0,3,3,14,14,16,5,9,7,71,0.0,0.0,4.2,4.2,19.7,19.7,22.5,7.0,12.7,9.9,100.0
E07000226,Crawley,1,1,7,18,12,9,5,2,8,3,66,1.5,1.5,10.6,27.3,18.2,13.6,7.6,3.0,12.1,4.5,100.0
E07000227,Horsham,0,0,1,2,4,12,8,13,13,28,81,0.0,0.0,1.2,2.5,4.9,14.8,9.9,16.0,16.0,34.6,100.0
E07000228,Mid Sussex,0,0,1,1,3,7,3,10,21,40,86,0.0,0.0,1.2,1.2,3.5,8.1,3.5,11.6,24.4,46.5,100.0
E07000229,Worthing,0,5,5,5,12,8,6,10,6,8,65,0.0,7.7,7.7,7.7,18.5,12.3,9.2,15.4,9.2,12.3,100.0
E07000234,Bromsgrove,0,1,3,3,8,0,10,5,10,18,58,0.0,1.7,5.2,5.2,13.8,0.0,17.2,8.6,17.2,31.0,100.0
E07000235,Malvern Hills,1,1,3,1,9,8,5,11,5,1,45,2.2,2.2,6.7,2.2,20.0,17.8,11.1,24.4,11.1,2.2,100.0
E07000236,Redditch,5,9,7,2,5,7,4,4,9,3,55,9.1,16.4,12.7,3.6,9.1,12.7,7.3,7.3,16.4,5.5,100.0
E07000237,Worcester,8,4,5,3,10,4,5,10,7,7,63,12.7,6.3,7.9,4.8,15.9,6.3,7.9,15.9,11.1,11.1,100.0
E07000238,Wychavon,0,4,3,9,11,13,13,6,11,8,78,0.0,5.1,3.8,11.5,14.1,16.7,16.7,7.7,14.1,10.3,100.0
E07000239,Wyre Forest,4,9,7,7,6,9,2,12,7,2,65,6.2,13.8,10.8,10.8,9.2,13.8,3.1,18.5,10.8,3.1,100.0
E07000240,St Albans,0,0,1,2,7,5,7,8,19,38,87,0.0,0.0,1.1,2.3,8.0,5.7,8.0,9.2,21.8,43.7,100.0
E07000241,Welwyn Hatfield,0,1,4,9,4,14,9,5,9,12,67,0.0,1.5,6.0,13.4,6.0,20.9,13.4,7.5,13.4,17.9,100.0
E07000242,East Hertfordshire,0,0,1,3,0,9,8,9,18,36,84,0.0,0.0,1.2,3.6,0.0,10.7,9.5,10.7,21.4,42.9,100.0
E07000243,Stevenage,0,2,5,12,12,10,7,1,2,1,52,0.0,3.8,9.6,23.1,23.1,19.2,13.5,1.9,3.8,1.9,100.0
E07000244,East Suffolk,10,10,10,20,24,17,10,13,17,15,146,6.8,6.8,6.8,13.7,16.4,11.6,6.8,8.9,11.6,10.3,100.0
E07000245,West Suffolk,0,1,10,11,15,20,12,15,10,6,100,0.0,1.0,10.0,11.0,15.0,20.0,12.0,15.0,10.0,6.0,100.0
E07000246,Somerset West and Taunton,3,5,10,12,16,16,6,6,9,5,88,3.4,5.7,11.4,13.6,18.2,18.2,6.8,6.8,10.2,5.7,100.0
E08000001,Bolton,42,33,20,9,13,10,16,10,16,8,177,23.7,18.6,11.3,5.1,7.3,5.6,9.0,5.6,9.0,4.5,100.0
E08000002,Bury,12,15,16,10,10,14,10,14,10,9,120,10.0,12.5,13.3,8.3,8.3,11.7,8.3,11.7,8.3,7.5,100.0
E08000003,Manchester,122,45,43,30,14,16,7,4,1,0,282,43.3,16.0,15.2,10.6,5.0,5.7,2.5,1.4,0.4,0.0,100.0
E08000004,Oldham,43,22,12,11,9,10,11,14,9,0,141,30.5,15.6,8.5,7.8,6.4,7.1,7.8,9.9,6.4,0.0,100.0
E08000005,Rochdale,40,19,24,11,9,5,8,12,6,0,134,29.9,14.2,17.9,8.2,6.7,3.7,6.0,9.0,4.5,0.0,100.0
E08000006,Salford,45,28,13,19,11,12,5,6,6,5,150,30.0,18.7,8.7,12.7,7.3,8.0,3.3,4.0,4.0,3.3,100.0
E08000007,Stockport,17,14,16,22,18,11,25,16,25,26,190,8.9,7.4,8.4,11.6,9.5,5.8,13.2,8.4,13.2,13.7,100.0
E08000008,Tameside,29,31,17,15,17,12,10,7,2,1,141,20.6,22.0,12.1,10.6,12.1,8.5,7.1,5.0,1.4,0.7,100.0
E08000009,Trafford,7,5,12,10,13,8,14,21,17,31,138,5.1,3.6,8.7,7.2,9.4,5.8,10.1,15.2,12.3,22.5,100.0
E08000010,Wigan,33,32,21,13,16,13,14,24,23,11,200,16.5,16.0,10.5,6.5,8.0,6.5,7.0,12.0,11.5,5.5,100.0
E08000011,Knowsley,46,16,6,8,14,4,3,1,0,0,98,46.9,16.3,6.1,8.2,14.3,4.1,3.1,1.0,0.0,0.0,100.0
E08000012,Liverpool,145,42,29,16,18,13,13,18,3,1,298,48.7,14.1,9.7,5.4,6.0,4.4,4.4,6.0,1.0,0.3,100.0
E08000013,St. Helens,29,21,14,11,8,8,8,10,10,0,119,24.4,17.6,11.8,9.2,6.7,6.7,6.7,8.4,8.4,0.0,100.0
E08000014,Sefton,38,21,14,14,21,19,23,16,16,7,189,20.1,11.1,7.4,7.4,11.1,10.1,12.2,8.5,8.5,3.7,100.0
E08000015,Wirral,52,20,17,17,12,21,19,20,15,13,206,25.2,9.7,8.3,8.3,5.8,10.2,9.2,9.7,7.3,6.3,100.0
E08000016,Barnsley,32,26,22,14,15,12,7,12,6,1,147,21.8,17.7,15.0,9.5,10.2,8.2,4.8,8.2,4.1,0.7,100.0
E08000017,Doncaster,46,32,23,19,14,19,16,12,10,3,194,23.7,16.5,11.9,9.8,7.2,9.8,8.2,6.2,5.2,1.5,100.0
E08000018,Rotherham,36,23,22,16,11,17,22,10,10,0,167,21.6,13.8,13.2,9.6,6.6,10.2,13.2,6.0,6.0,0.0,100.0
E08000019,Sheffield,82,36,26,22,31,31,26,27,30,34,345,23.8,10.4,7.5,6.4,9.0,9.0,7.5,7.8,8.7,9.9,100.0
E08000021,Newcastle upon Tyne,45,24,13,13,14,13,11,12,13,17,175,25.7,13.7,7.4,7.4,8.0,7.4,6.3,6.9,7.4,9.7,100.0
E08000022,North Tyneside,12,15,22,14,7,4,15,10,14,18,131,9.2,11.5,16.8,10.7,5.3,3.1,11.5,7.6,10.7,13.7,100.0
E08000023,South Tyneside,25,21,17,10,7,2,4,6,9,1,102,24.5,20.6,16.7,9.8,6.9,2.0,3.9,5.9,8.8,1.0,100.0
E08000024,Sunderland,42,33,24,22,16,9,15,16,7,1,185,22.7,17.8,13.0,11.9,8.6,4.9,8.1,8.6,3.8,0.5,100.0
E08000025,Birmingham,264,96,68,72,56,25,23,15,12,8,639,41.3,15.0,10.6,11.3,8.8,3.9,3.6,2.3,1.9,1.3,100.0
E08000026,Coventry,28,22,28,19,23,21,19,15,11,9,195,14.4,11.3,14.4,9.7,11.8,10.8,9.7,7.7,5.6,4.6,100.0
E08000027,Dudley,22,30,26,21,21,8,16,20,18,19,201,10.9,14.9,12.9,10.4,10.4,4.0,8.0,10.0,9.0,9.5,100.0
E08000028,Sandwell,37,75,26,12,12,19,4,1,0,0,186,19.9,40.3,14.0,6.5,6.5,10.2,2.2,0.5,0.0,0.0,100.0
E08000029,Solihull,16,6,10,3,11,15,8,13,15,37,134,11.9,4.5,7.5,2.2,8.2,11.2,6.0,9.7,11.2,27.6,100.0
E08000030,Walsall,44,39,15,11,12,7,11,8,14,6,167,26.3,23.4,9.0,6.6,7.2,4.2,6.6,4.8,8.4,3.6,100.0
E08000031,Wolverhampton,33,45,17,15,11,9,13,11,3,1,158,20.9,28.5,10.8,9.5,7.0,5.7,8.2,7.0,1.9,0.6,100.0
E08000032,Bradford,104,42,44,22,18,19,18,16,11,16,310,33.5,13.5,14.2,7.1,5.8,6.1,5.8,5.2,3.5,5.2,100.0
E08000033,Calderdale,20,19,13,15,10,18,18,7,4,4,128,15.6,14.8,10.2,11.7,7.8,14.1,14.1,5.5,3.1,3.1,100.0
E08000034,Kirklees,31,47,32,23,26,19,22,31,18,10,259,12.0,18.1,12.4,8.9,10.0,7.3,8.5,12.0,6.9,3.9,100.0
E08000035,Leeds,114,48,42,21,45,40,56,42,41,33,482,23.7,10.0,8.7,4.4,9.3,8.3,11.6,8.7,8.5,6.8,100.0
E08000036,Wakefield,33,38,24,27,23,11,14,20,12,7,209,15.8,18.2,11.5,12.9,11.0,5.3,6.7,9.6,5.7,3.3,100.0
E08000037,Gateshead,21,19,25,11,13,6,9,9,8,5,126,16.7,15.1,19.8,8.7,10.3,4.8,7.1,7.1,6.3,4.0,100.0
E09000001,City of London,0,0,1,0,1,1,1,0,1,1,6,0.0,0.0,16.7,0.0,16.7,16.7,16.7,0.0,16.7,16.7,100.0
E09000002,Barking and Dagenham,4,56,31,10,8,1,0,0,0,0,110,3.6,50.9,28.2,9.1,7.3,0.9,0.0,0.0,0.0,0.0,100.0
E09000003,Barnet,1,6,24,17,22,30,34,36,32,9,211,0.5,2.8,11.4,8.1,10.4,14.2,16.1,17.1,15.2,4.3,100.0
E09000004,Bexley,0,9,14,13,19,12,17,19,30,13,146,0.0,6.2,9.6,8.9,13.0,8.2,11.6,13.0,20.5,8.9,100.0
E09000005,Brent,10,23,30,38,34,22,8,8,0,0,173,5.8,13.3,17.3,22.0,19.7,12.7,4.6,4.6,0.0,0.0,100.0
E09000006,Bromley,1,12,11,15,14,13,26,28,42,35,197,0.5,6.1,5.6,7.6,7.1,6.6,13.2,14.2,21.3,17.8,100.0
E09000007,Camden,0,22,15,19,14,20,10,11,14,8,133,0.0,16.5,11.3,14.3,10.5,15.0,7.5,8.3,10.5,6.0,100.0
E09000008,Croydon,5,34,36,28,33,19,20,19,19,7,220,2.3,15.5,16.4,12.7,15.0,8.6,9.1,8.6,8.6,3.2,100.0
E09000009,Ealing,4,29,29,36,22,31,22,11,11,1,196,2.0,14.8,14.8,18.4,11.2,15.8,11.2,5.6,5.6,0.5,100.0
E09000010,Enfield,10,45,32,21,14,18,12,20,10,1,183,5.5,24.6,17.5,11.5,7.7,9.8,6.6,10.9,5.5,0.5,100.0
E09000011,Greenwich,1,32,29,25,24,15,13,9,3,0,151,0.7,21.2,19.2,16.6,15.9,9.9,8.6,6.0,2.0,0.0,100.0
E09000012,Hackney,16,47,53,17,8,3,0,0,0,0,144,11.1,32.6,36.8,11.8,5.6,2.1,0.0,0.0,0.0,0.0,100.0
E09000013,Hammersmith and Fulham,1,19,16,17,17,15,13,11,4,0,113,0.9,16.8,14.2,15.0,15.0,13.3,11.5,9.7,3.5,0.0,100.0
E09000014,Haringey,14,34,27,22,13,14,7,9,5,0,145,9.7,23.4,18.6,15.2,9.0,9.7,4.8,6.2,3.4,0.0,100.0
E09000015,Harrow,0,2,10,7,24,23,26,19,16,10,137,0.0,1.5,7.3,5.1,17.5,16.8,19.0,13.9,11.7,7.3,100.0
E09000016,Havering,1,9,13,13,20,18,21,19,25,11,150,0.7,6.0,8.7,8.7,13.3,12.0,14.0,12.7,16.7,7.3,100.0
E09000017,Hillingdon,0,7,26,24,24,15,12,18,25,10,161,0.0,4.3,16.1,14.9,14.9,9.3,7.5,11.2,15.5,6.2,100.0
E09000018,Hounslow,1,11,21,32,26,28,13,8,1,1,142,0.7,7.7,14.8,22.5,18.3,19.7,9.2,5.6,0.7,0.7,100.0
E09000019,Islington,6,26,36,22,13,12,7,1,0,0,123,4.9,21.1,29.3,17.9,10.6,9.8,5.7,0.8,0.0,0.0,100.0
E09000020,Kensington and Chelsea,9,14,7,10,12,11,12,23,5,0,103,8.7,13.6,6.8,9.7,11.7,10.7,11.7,22.3,4.9,0.0,100.0
E09000021,Kingston upon Thames,0,1,2,1,7,14,19,16,25,13,98,0.0,1.0,2.0,1.0,7.1,14.3,19.4,16.3,25.5,13.3,100.0
E09000022,Lambeth,0,36,43,41,28,18,7,4,1,0,178,0.0,20.2,24.2,23.0,15.7,10.1,3.9,2.2,0.6,0.0,100.0
E09000023,Lewisham,5,39,42,32,21,19,8,3,0,0,169,3.0,23.1,24.9,18.9,12.4,11.2,4.7,1.8,0.0,0.0,100.0
E09000024,Merton,0,3,12,15,5,15,18,15,19,22,124,0.0,2.4,9.7,12.1,4.0,12.1,14.5,12.1,15.3,17.7,100.0
E09000025,Newham,4,40,75,32,10,2,0,1,0,0,164,2.4,24.4,45.7,19.5,6.1,1.2,0.0,0.6,0.0,0.0,100.0
E09000026,Redbridge,0,5,12,20,27,39,21,17,14,6,161,0.0,3.1,7.5,12.4,16.8,24.2,13.0,10.6,8.7,3.7,100.0
E09000027,Richmond upon Thames,0,1,2,3,7,4,14,9,42,33,115,0.0,0.9,1.7,2.6,6.1,3.5,12.2,7.8,36.5,28.7,100.0
E09000028,Southwark,5,33,48,26,15,19,6,9,4,1,166,3.0,19.9,28.9,15.7,9.0,11.4,3.6,5.4,2.4,0.6,100.0
E09000029,Sutton,1,6,8,7,7,11,20,19,19,23,121,0.8,5.0,6.6,5.8,5.8,9.1,16.5,15.7,15.7,19.0,100.0
E09000030,Tower Hamlets,2,44,40,24,11,6,8,5,3,1,144,1.4,30.6,27.8,16.7,7.6,4.2,5.6,3.5,2.1,0.7,100.0
E09000031,Waltham Forest,3,20,31,40,22,19,6,2,1,0,144,2.1,13.9,21.5,27.8,15.3,13.2,4.2,1.4,0.7,0.0,100.0
E09000032,Wandsworth,0,8,16,18,24,31,27,23,23,9,179,0.0,4.5,8.9,10.1,13.4,17.3,15.1,12.8,12.8,5.0,100.0
E09000033,Westminster,3,15,19,16,13,14,10,21,13,4,128,2.3,11.7,14.8,12.5,10.2,10.9,7.8,16.4,10.2,3.1,100.0
